2026-04-04 16:17:09 | xai_ids.generate_sample | INFO     | Saved synthetic dataset: /tmp/pytest-of-codespace/pytest-8/test_dataset_has_all_classes0/sample_cicids2017.csv (6450 rows)
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     | Starting data cleaning: 6 rows
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     | Replaced infinite values -> 2 rows affected
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     | Dropped NaN rows: 2 removed
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     | Dropped duplicates: 1 removed
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     | Cleaning complete: 6 -> 3 rows (3 removed, 50.0%)
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     | Encoding labels...
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     | Label mapping (2 classes):
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     |   0: BENIGN (2 samples)
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     |   1: DoS Hulk (1 samples)
2026-04-04 16:17:09 | xai_ids.generate_sample | INFO     | Generating synthetic dataset with 1000 samples
2026-04-04 16:17:09 | xai_ids.generate_sample | INFO     |   Generated 600 samples for 'BENIGN'
2026-04-04 16:17:09 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'DoS Hulk'
2026-04-04 16:17:09 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'PortScan'
2026-04-04 16:17:09 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'DDoS'
2026-04-04 16:17:09 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'DoS GoldenEye'
2026-04-04 16:17:09 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'FTP-Patator'
2026-04-04 16:17:09 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'SSH-Patator'
2026-04-04 16:17:09 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'DoS slowloris'
2026-04-04 16:17:09 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'DoS Slowhttptest'
2026-04-04 16:17:09 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'Bot'
2026-04-04 16:17:09 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'Web Attack - Brute Force'
2026-04-04 16:17:09 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'Web Attack - XSS'
2026-04-04 16:17:09 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'Infiltration'
2026-04-04 16:17:09 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'Web Attack - Sql Injection'
2026-04-04 16:17:09 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'Heartbleed'
2026-04-04 16:17:09 | xai_ids.generate_sample | INFO     | Saved synthetic dataset: /tmp/pytest-of-codespace/pytest-8/test_mini_pipeline0/raw/sample_cicids2017.csv (3400 rows)
2026-04-04 16:17:09 | xai_ids.preprocessing | INFO     | Starting data cleaning: 3400 rows
